event_id,primary_entity,primary_form_family,n_documents,n_filings,n_amendment_filings,event_span_days
005-89940,"Southwest Gas Holdings, Inc.",mixed,158,64,62,208
005-80234,BEACON ROOFING SUPPLY INC,mixed,133,56,54,92
005-42593,SEACOR HOLDINGS INC /NEW/,mixed,92,43,40,118
005-87285,STRATASYS LTD.,mixed,178,41,39,68
005-86024,Wright Medical Group N.V.,mixed,67,38,38,315
005-88851,"Priority Income Fund, Inc.",issuer_tender,176,60,38,2093
005-89626,"F-star Therapeutics, Inc.",mixed,78,40,38,245
005-90752,AIP Alternative Lending Fund A,issuer_tender,206,59,35,2100
005-93360,Olink Holding AB,mixed,97,37,35,260
005-88663,Santander Consumer USA Holdings Inc.,mixed,68,37,33,729
005-90234,"Carlyle Credit Solutions, Inc.",mixed,220,48,31,1357
005-91801,Blackstone Private Credit Fund,issuer_tender,218,50,31,1682
005-54659,QIAGEN N.V.,mixed,107,31,29,107
005-89955,Owl Rock Capital Corp II,issuer_tender,182,52,29,2033
005-90872,MorphoSys AG,mixed,111,33,29,124
